threshold	subforum1	subforum2	mode	npairs	positive	ave_diff	iqr
3000	hem	kultur	act-int	105	0.04249321980783549	0.6857142857142857	0.08971835295100439
3000	hem	kultur	no-int	525	0.02028790829426255	0.6076190476190476	0.07820623739888416
3000	sport	kultur	act-int	332	-0.013726641593500673	0.5060240963855421	0.1187717750735543
3000	sport	kultur	no-int	1660	0.00884407546335367	0.6186746987951808	0.10103747985579359
3000	droger	kultur	act-int	25	0.07729717314127653	0.68	0.1909587252756954
3000	droger	kultur	no-int	125	0.022930070310560702	0.584	0.11483056460581287
3000	dator	kultur	act-int	144	0.05847291744004971	0.6944444444444444	0.11428556739267567
3000	dator	kultur	no-int	720	0.03212658832345068	0.6402777777777777	0.10704242393656185
