duplet	threshold	prop_p	prop_x	prop_df	t_p	t_t	t_df
1	3000	0.004929171300472034	7.905243243243244	1.0	0.0009818462657058854	3.38246025913422	115.2912792468071
1	6000	0.7401441358045746	0.11000000000000013	1.0	0.8107315164909481	0.2420386339563224	24.91355342324678
2	3000	0.7641771556220949	0.08999999999999996	1.0	0.1788849169078079	-1.3800157522590448	27.043374677899056
2	6000	0.9999999999999996	3.1554436208840465e-31	1.0	0.10556700413995183	-1.6699739558259328	29.323352657440324
3	3000	0.39355192365025704	0.727939406099519	1.0	0.29653831935729963	1.0488410847681302	110.574801596381
3	6000	0.06661291417357985	3.3645714285714288	1.0	0.2987487626103315	1.0610388534097799	25.167603238218042
4	3000	1.0	0.0	1.0	0.2885418373542262	1.070407635621342	62.659069889591734
4	6000	0.5995831909373917	0.2756250000000002	1.0	0.743948155387568	-0.32934605167814907	33.440441022712704
5	3000	0.999999999999999	1.6488761676601118e-30	1.0	0.039476169250814104	2.184154514806038	22.847982759629215
5	6000	0.3248236328510374	0.969424964936886	1.0	0.11383419661242204	1.7492580815176566	9.092785162348205
6	3000	1.0	0.0	1.0	0.8366792306751815	0.2065930842922091	119.50754503390567
6	6000	0.8643513830686198	0.029185520361991117	1.0	0.7734026849278779	-0.2894782460910067	50.411240346745814
