author	ntokens
_Fiskarn	78687
Zelogath	78434
pjalle	78376
project_x	78362
Motvillig1.2	78299
ltvix	78133
aliquis	77819
antonaugustsson	77729
anooonym	77712
tjaboooo	77708
Duumburk	77606
Fistor	77440
xatrix	77376
AIKDaniel	77325
kr0owe	76908
nilsen1	76833
Sulle82	76825
vapor21	76824
denied	76772
BenAsslick	76574
all makt  åt sture (old)	76568
Bearforceone	76513
Tord_Ywel	76054
isch	75869
Most Wanted	75841
hash	75768
Deusfan	75742
DePumaTomten	75709
Aritzo	75647
royman	75506
Bitmaster	75249
xituno	75015
Ful Fisk	74960
r_o_n	74954
Rizado	74809
patrikgbg	74621
trellen	74510
fgnm	74458
Mansig	74197
pc4life	74036
0tso	73639
micke_h	73630
Delira	73624
Gosif	73557
Hs187	73408
Kickex	73394
Ettan^	73346
K85	73343
Logz	73255
techno_the_king	73022
e7andy	72892
Lars Vinterdäck	72870
isbjoern	72668
groil	72604
Fr0ggeh	72564
searchfunction	72472
Gurka___	72386
Stuntman Bob	72014
Darwin	71567
Nemesis(SM)	71446
HugeSackOfNachos	71317
Lich.queen	71307
wessla	70951
Bongoman	70938
Spiderman-ninja	70885
Forever Winter	70878
MacGayVer	70858
Donno	70801
capmac	70684
intheloop	70533
Rauz	70432
Gh0sted	70429
Qawsed	70373
fizzle	70178
gsminfo	70155
kklasen	69941
pponmm	69892
init	69719
IshethZenunim	69668
dethalvabarnet	69530
Lullebulle1	69487
patwotrik	69425
asker	68851
Gizmo (old)	68729
sigurt	68638
B0lters	68596
theshade	68569
TheGamer	68524
w580i	68162
irrbloss	67943
ganglere2	67667
Krokofant12	67441
Joakwim	67430
Medve	67429
tuppruskarn	67429
sathulken	67049
Gargamel	66989
DrAg00nEn	66897
HestEtaGres	66862
DoDaDa	66803
Dan-Banan	66726
zixl	66602
PhoenixNox	66595
OnY	66595
harring	66372
kingn77	66371
-Q-	66342
deadhead.	66243
nihilverum	66080
LifeIsALoop	65740
Varian	65621
G Hårddisksson	65547
pirate	65499
StoffeAPBT	65384
Onaka	65384
Jelloblimp	65153
roflmao123	64982
Rocklobstah	64945
zBr9	64873
Colosso	64859
pukknub	64710
phunque	64684
Ymar	64428
endler	64397
Anteus	64383
boppalooz	64367
Koroman	64335
Arsenal-For-Life	64130
