author	ntokens
bagarn29	1493529
frankkk	1472236
Brille68	1411232
Alkibiades	1117506
Dreas	1008953
SweTech	1003455
Ezzelino	1001466
MRZnr1	943287
B-Dawk	817150
4522	766031
Stefan4	743989
Axon	743814
anteri17	738994
rainbowia	727597
kostymnisse	727268
feldgrau	716246
NirvanA	703612
mishima	700374
Ferros	693519
ZlatanMania	668990
steffeG	648371
Gromgutten	646221
terribilis	639214
motvall	635336
Ferry31	620059
SiSenior	615309
riquelme	598738
Arctic Monkey	598034
pezrulezhaakon	593560
HerrGickhan	577982
snillet_1	565782
Reaper123	550075
R.O.S.H	542638
J.R.	537827
Eaglesandshit	522863
Smerch	501397
vf	495630
cyberkalle	494351
Azdz	485219
Fula Gubben	476797
Kalksalpeter	473539
Kung_Ingenting	446142
Pankreatit	444777
P.G	442280
L-illuminato	439314
svulle	436609
loafmaster	433098
BengtZz	427222
zizacon	423259
Thax21	421831
Mx_1337	421483
upperkatt	411982
Killer-queen	407476
mma	406489
VanDenBerg	404782
foool13	400370
ZRyden	394903
ingetbranick	393161
400Ben	392583
xeezer	392152
Bigorexia	390122
Morganovic	382270
J-dilla	371051
jpettersson1991	368882
ktorum	368596
Vivoli	362692
Skogsrök	358265
Hzj	356224
asdfghjklzxcvbnm	354512
PerP	354326
Shuyin	351261
Pumpking	347682
EliasAlucard	341763
Stivali	339053
easy_dan	335918
Steff83	334463
FabioAugusto	333813
EnLitenFrys	331636
TKD_1337	331167
Trollfeeder	321739
Viking-	320895
MacReady	320291
catami	319561
Kalle-Kotte	315584
fryskyl	315558
Cambijao	315008
Jole25	312523
Salorm	311536
sm910dif	309517
siryessir	308672
Burkgurka	308173
Jeremy Roenick	304574
TOP-NOCH	299360
bLyGE_kEntA	292112
Scrip7	291843
MuscleShark	291621
Kroesmann	290499
fugu	290481
EatableAcrobat	290113
zach	282619
Joelfrog	282116
Germanofil	281776
AIP	277808
MitchRapp	275598
Generalandersson	274000
trazke	268622
Zog Rules	267017
JohnnyGenzale	265857
No_fear	265772
znorlax	264573
Hodur	264538
Blinkare	262163
Klevis	261833
eternussermo	261443
Alex P. Keaton	258577
simonvp	256672
pederN	256178
welcometoreality	255476
von_S	255012
KloBengan	251475
gato12	245861
MangoChutney	245555
MrOrdonnee	245487
FNLS	245244
Stukatj	243997
Villon	242338
DisposableGarbage4	241822
guldtrassel	240982
ric	239646
xtroe	238255
sportnorden12345	237701
Displaced	232534
TrogenHammarby	232244
Hunden007	231131
zantera	230172
ett kadaver	230140
Pancev	229561
Johanhaa	227912
BarryHero	227419
Otrolig	224763
miqqqa	224364
RonaldoUtd	224356
marc0p0l0	220887
M.S	218715
Skrank	214643
P3RK3L3	214579
BePositive	214175
