duplet	p_positive	p_change
1	0.002	0.013
3	0.180	0.177
4	0.485	0.134
5	0.519	0.001
6	0.491	0.409
7	0.076	0.013
8	1.000	0.994
9	0.242	0.018
10	0.121	0.037
