Set	a	b	c	d	e	rs	rp
Set10000	0.0663487432	0.0607005153	0.0951336113	0.0389895211	0.1168222974	1	0.9844588144
Set10001	0.051801147	0.08722165	0.0951767437	0.0793072833	0.0829106884	0.9	0.8746091695
Set10002	0.1140852885	0.0445573317	0.0683745827	0.0547046464	0.1429528402	1	0.9658752604
Set10003	0.1170953777	0.0607797785	0.0419603818	0.0827402614	0.114134609	1	0.9809025547
Set10004	0.1557917311	0.0696897344	0.0942478435	0.0597416827	0.1013100482	1	0.9442881726
Set10005	0.2344342444	0.1687962125	0.1115973021	0.0601870212	0.0677883094	0.9	0.9533808407
Set10006	0.2057741781	0.1309282149	0.0578136423	0.0942785874	0.0827973317	1	0.9459688991
Set10007	0.1368353649	0.0632140737	0.1463829342	0.0563507747	0.0821802211	1	0.956181232
Set10008	0.1084116447	0.0541934643	0.091665757	0.049832095	0.0865893995	1	0.9691977495
Set10009	0.0814547618	0.084142551	0.1056216239	0.0513282549	0.0590364005	0.5	0.6617714606
Set10010	0.1178587704	0.0616061404	0.1124374231	0.0609094517	0.064145624	0.8	0.8624661997
Set10011	0.0896929494	0.0544278294	0.1056996838	0.0708448463	0.0447556799	1	0.9948791415
Set10012	0.041194543	0.0751992325	0.1322904223	0.0482814898	0.1800699206	1	0.9635333592
Set10013	0.0621038177	0.1047242129	0.1238014477	0.0858478083	0.0539192221	1	0.9920807704
Set10014	0.0699711865	0.1194873628	0.0605996809	0.0428371171	0.0914309452	1	0.9843923402
Set10015	0.0472116257	0.0993178899	0.1395915891	0.1724979249	0.1053634142	1	0.9793006489
Set10016	0.1065610351	0.0909611061	0.0706430993	0.1438060207	0.0467364265	1	0.9898669953
Set10017	0.0789958788	0.281217493	0.0648103483	0.2145884114	0.1355587765	1	0.9781179923
Set10018	0.0635564219	0.1105677652	0.0536832003	0.081486497	0.0687951114	1	0.9482141434
Set10019	0.0780181524	0.1338098075	0.034428846	0.0483859168	0.0771921309	0.9	0.9429088995
Set10020	0.1196448251	0.0435646528	0.1137027735	0.0673313863	0.0527598325	0.8	0.8910659038
Set10021	0.0853296708	0.0418208345	0.0535879023	0.0743025313	0.0411255921	0.9	0.9589350357
Set10022	0.1454481822	0.0661175166	0.0584402479	0.1333751366	0.205370383	0.9	0.950357551
Set10023	0.1179885885	0.0725727496	0.0417848421	0.0472426336	0.0863446694	1	0.9773070237
Set10024	0.2134855414	0.0357616238	0.0623307964	0.1726792431	0.0782569492	1	0.9629577992
Set10025	0.0739609754	0.139929952	0.068245985	0.0435860872	0.0409102799	1	0.9030602814
Set10026	0.2701422147	0.3223270265	0.1269117993	0.1693359903	0.0760551389	1	0.9895377847
Set10027	0.0457956088	0.1136029956	0.1846782913	0.1151470873	0.0640412616	1	0.9611441557
Set10028	0.0919978308	0.1046714215	0.0458149398	0.0616085687	0.0351028278	0.9	0.9181491475
Set10029	0.0631430633	0.1709193417	0.1004419862	0.0419763015	0.1131344752	1	0.9782085844
Set10030	0.0606753204	0.2454962037	0.1930172343	0.1141671285	0.066543081	1	0.9689629734
Set10031	0.2694995596	0.2249877524	0.1668597466	0.1069911937	0.1079552713	0.9	0.9714715173
Set10032	0.1283964878	0.0740529804	0.0604896655	0.0797938058	0.1225683762	1	0.9560232345
Set10033	0.3278710333	0.0620100313	0.2033400663	0.2313699672	0.1227183706	1	0.9904238646
Set10034	0.0737588202	0.0398579848	0.084809474	0.1232005906	0.0465160831	0.9	0.9392902577
Set10035	0.082313304	0.1140751322	0.1511262834	0.063695441	0.1138943554	1	0.9729680676
Set10036	0.040103025	0.0592487373	0.0500844178	0.0879761957	0.0633549871	0.8	0.8362664935
Set10037	0.1678045125	0.0542837022	0.1783458747	0.1019475181	0.0672600904	0.9	0.9402878035
Set10038	0.0355569335	0.1073167546	0.0590402908	0.0522536853	0.1172828566	0.9	0.9323027753
Set10039	0.2130061333	0.1045909673	0.0798852082	0.1588143602	0.0503417571	1	0.9849177732
Set10040	0.0580285314	0.1036646118	0.0891402037	0.0766162379	0.0579499574	0.8	0.7111603716
Set10041	0.1567312589	0.104362598	0.1179417645	0.0687564117	0.0771319211	1	0.9758158298
Set10042	0.0350285924	0.0545387006	0.0436862492	0.1228970541	0.0860962954	1	0.9566716406
Set10043	0.0542016414	0.0641489764	0.0540327669	0.0801807359	0.0414480411	0.7	0.8480771925
Set10044	0.1076577195	0.1224685118	0.0784827222	0.0485615409	0.0342155158	1	0.9920129544
Set10045	0.0844676633	0.0455104722	0.080668594	0.0357671513	0.0463163901	0.8	0.9048390213
Set10046	0.0518752092	0.0816833166	0.0628996691	0.0438345486	0.0784736543	0.9	0.8357417227
Set10047	0.1439361969	0.1030484352	0.0812323802	0.0647099382	0.0538654393	1	0.96749488
Set10048	0.0648014045	0.0361746944	0.099067704	0.1223644381	0.0791531254	0.9	0.8994309518
Set10049	0.0421704094	0.0801051077	0.0975910602	0.0450868315	0.0728933647	0.9	0.9556417494
						0.938	0.9380583797
